title,issn_print,issn-l,apc_currency,apc_amount,
Accountability in Research,0898-9621,1545-5815,USD,2995,
Accountability in Research,0898-9621,1545-5815,GBP,2295,
Accountability in Research,0898-9621,1545-5815,EUR,2650,
Accounting and Business Research,0001-4788,2159-4260,USD,2800,
Accounting and Business Research,0001-4788,2159-4260,GBP,2155,
Accounting and Business Research,0001-4788,2159-4260,EUR,2475,
Accounting Education,0963-9284,1468-4489,USD,2995,
Accounting Education,0963-9284,1468-4489,GBP,2295,
Accounting Education,0963-9284,1468-4489,EUR,2650,
Accounting Forum,0155-9982,1467-6303,USD,2800,
Accounting Forum,0155-9982,1467-6303,GBP,2155,
Accounting Forum,0155-9982,1467-6303,EUR,2475,
Accounting History Review,2155-2851,2155-286X,USD,2995,
Accounting History Review,2155-2851,2155-286X,GBP,2295,
Accounting History Review,2155-2851,2155-286X,EUR,2650,
Accounting in Europe,1744-9480,1744-9499,USD,2995,
Accounting in Europe,1744-9480,1744-9499,GBP,2295,
Accounting in Europe,1744-9480,1744-9499,EUR,2650,
"Acta Agriculturae Scandinavica, Section A - Animal Science",0906-4702,1651-1972,USD,3300,
"Acta Agriculturae Scandinavica, Section A - Animal Science",0906-4702,1651-1972,GBP,2540,
"Acta Agriculturae Scandinavica, Section A - Animal Science",0906-4702,1651-1972,EUR,2920,
Acta Borealia,0800-3831,1503-111X,USD,2995,
Acta Borealia,0800-3831,1503-111X,GBP,2295,
Acta Borealia,0800-3831,1503-111X,EUR,2650,
Acta Cardiologica,0001-5385,0373-7934,USD,3300,
Acta Cardiologica,0001-5385,0373-7934,GBP,2540,
Acta Cardiologica,0001-5385,0373-7934,EUR,2920,
Acta Chirurgica Belgica,0001-5458,0001-5458,USD,3300,
Acta Chirurgica Belgica,0001-5458,0001-5458,GBP,2540,
Acta Chirurgica Belgica,0001-5458,0001-5458,EUR,2920,
Acta Clinica Belgica,1784-3286,2295-3337,USD,3300,
Acta Clinica Belgica,1784-3286,2295-3337,GBP,2540,
Acta Clinica Belgica,1784-3286,2295-3337,EUR,2920,
Acta Linguistica Hafniensia,0374-0463,1949-0763,USD,2800,
Acta Linguistica Hafniensia,0374-0463,1949-0763,GBP,2155,
Acta Linguistica Hafniensia,0374-0463,1949-0763,EUR,2475,
Acta Odontologica Scandinavica,0001-6357,1502-3850,USD,3300,
Acta Odontologica Scandinavica,0001-6357,1502-3850,GBP,2540,
Acta Odontologica Scandinavica,0001-6357,1502-3850,EUR,2920,
Acta Oncologica,0284-186X,1651-226X,USD,3900,
Acta Oncologica,0284-186X,1651-226X,GBP,3000,
Acta Oncologica,0284-186X,1651-226X,EUR,3450,
Acta Orthopaedica,1745-3674,1745-3682,USD,1865,
Acta Orthopaedica,1745-3674,1745-3682,GBP,1435,
Acta Orthopaedica,1745-3674,1745-3682,EUR,1650,
Acta Oto-Laryngologica,0001-6489,1651-2251,USD,3300,
Acta Oto-Laryngologica,0001-6489,1651-2251,GBP,2540,
Acta Oto-Laryngologica,0001-6489,1651-2251,EUR,2920,
Acta Oto-Laryngologica Case Reports,n/a,2377-2484,USD,395,
Acta Oto-Laryngologica Case Reports,n/a,2377-2484,GBP,305,
Acta Oto-Laryngologica Case Reports,n/a,2377-2484,EUR,350,
Action in Teacher Education,0162-6620,2158-6098,USD,2995,
Action in Teacher Education,0162-6620,2158-6098,GBP,2295,
Action in Teacher Education,0162-6620,2158-6098,EUR,2650,
Action Learning: Research & Practice,1476-7333,1476-7341,USD,2995,
Action Learning: Research & Practice,1476-7333,1476-7341,GBP,2295,
Action Learning: Research & Practice,1476-7333,1476-7341,EUR,2650,
"Activities, Adaptation & Aging",0192-4788,1544-4368,USD,2995,
"Activities, Adaptation & Aging",0192-4788,1544-4368,GBP,2295,
"Activities, Adaptation & Aging",0192-4788,1544-4368,EUR,2650,
Addiction Research and Theory,1606-6359,1476-7392,USD,3500,
Addiction Research and Theory,1606-6359,1476-7392,GBP,2690,
Addiction Research and Theory,1606-6359,1476-7392,EUR,3095,
Adipocyte,2162-3945,2162-397X,EUR,1980,
Adipocyte,2162-3945,2162-397X,USD,2250,
Adipocyte,2162-3945,2162-397X,GBP,1735,
Administrative Theory & Praxis,1084-1806,1949-0461,EUR,2650,
Adoption Quarterly,1092-6755,1544-452X,EUR,2650,
Advanced Manufacturing: Polymer & Composites Science,2055-0340,2055-0359,USD,1000,
Advanced Manufacturing: Polymer & Composites Science,2055-0340,2055-0359,GBP,770,
Advanced Manufacturing: Polymer & Composites Science,2055-0340,2055-0359,EUR,885,
Advances in Applied Ceramics,1743-6753,1743-6761,USD,3300,
Advances in Applied Ceramics,1743-6753,1743-6761,GBP,2540,
Advances in Applied Ceramics,1743-6753,1743-6761,EUR,2920,
Advances in Materials and Processing Technologies,2374-068X,2374-0698,USD,3300,
Advances in Materials and Processing Technologies,2374-068X,2374-0698,GBP,2540,
Advances in Materials and Processing Technologies,2374-068X,2374-0698,EUR,2920,
Advances in Physics: X,n/a,2374-6149,USD,1200,
Advances in Physics: X,n/a,2374-6149,GBP,925,
Advances in Physics: X,n/a,2374-6149,EUR,1055,
Aerosol Science and Technology,0278-6826,1521-7388,USD,1500,
Aerosol Science and Technology,0278-6826,1521-7388,GBP,938,
Aerosol Science and Technology,0278-6826,1521-7388,EUR,1125,
Africa Education Review,1814-6627,1753-5921,USD,2995,
