issn,journal_title,accurate_title,author_instructions,editorial_board,facebook_url,home_page_url,is_society_journal,linkedin_url,society_organization,society_organization_url,twitter_page_url,wikidata_url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2226-5856,Journal of urban management,,https://www.elsevier.com/journals/journal-of-urban-management/2226-5856/guide-for-authors,https://www.journals.elsevier.com/journal-of-urban-management/editorial-board,,https://www.journals.elsevier.com/journal-of-urban-management,TRUE,,"Zhejiang University , Chinese Association of Urban Management",http://www.spa.zju.edu.cn/; http://caum.org/,,https://www.wikidata.org/wiki/Q50810915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0042-6822,Virology,,http://www.elsevier.com/journals/virology/0042-6822/guide-for-authors,https://www.journals.elsevier.com/virology/editorial-board,https://www.facebook.com/profile.php?id=111795718837499,https://www.journals.elsevier.com/virology,TRUE,,World Society for Virology,https://www.ws-virology.org/,,https://www.wikidata.org/wiki/Q7934867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1389-9457,Sleep medicine,,http://www.elsevier.com/journals/sleep-medicine/1389-9457/guide-for-authors,https://www.journals.elsevier.com/sleep-medicine/editorial-board,,https://www.journals.elsevier.com/sleep-medicine,TRUE,,World Sleep Society and International Pediatric Sleep Association,http://www.worldsleepsociety.org; http://www.pedsleep.org/,,https://www.wikidata.org/wiki/Q15762248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2666-2221,Soft computing letters,,http://www.elsevier.com/journals/soft-computing-letters/2666-2221/guide-for-authors,https://www.journals.elsevier.com/soft-computing-letters/editorial-board,,https://www.journals.elsevier.com/soft-computing-letters,TRUE,,World Federation on Soft Computing,http://www.softcomputing.org/,,https://www.wikidata.org/wiki/Q96731751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0883-9441,Journal of critical care,,http://www.elsevier.com/journals/journal-of-critical-care/0883-9441/guide-for-authors,https://www.journals.elsevier.com/journal-of-critical-care/editorial-board,,https://www.journals.elsevier.com/journal-of-critical-care,TRUE,,World Federation of Societies of Intensive and Critical Care Medicine; the Society for Complex Acute Illness,http://www.world-critical-care.org/; http://www.scai-med.org/,,https://www.wikidata.org/wiki/Q15749406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2405-6731,Parasite epidemiology and control,,http://www.elsevier.com/journals/parasite-epidemiology-and-control/2405-6731/guide-for-authors,https://www.journals.elsevier.com/parasite-epidemiology-and-control/editorial-board,,https://www.journals.elsevier.com/parasite-epidemiology-and-control,TRUE,,World Federation of Parasitologists,http://www.wfpnet.org/,,https://www.wikidata.org/wiki/Q27727553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0022-510X,Journal of the neurological sciences,,http://www.elsevier.com/journals/journal-of-the-neurological-sciences/0022-510x/guide-for-authors,https://www.journals.elsevier.com/journal-of-the-neurological-sciences/editorial-board,,https://www.journals.elsevier.com/journal-of-the-neurological-sciences,TRUE,,World Federation of Neurology,http://www.elsevier.com/locate/wfn,,https://www.wikidata.org/wiki/Q6296168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0301-5629,Ultrasound in medicine & biology,,http://www.elsevier.com/journals/ultrasound-in-medicine-and-biology/0301-5629/guide-for-authors,https://www.journals.elsevier.com/ultrasound-in-medicine-and-biology/editorial-board,,https://www.journals.elsevier.com/ultrasound-in-medicine-and-biology,TRUE,,World Federation for Ultrasound in Medicine and Biology,http://www.wfumb.org/,,https://www.wikidata.org/wiki/Q2260380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0967-070X,Transport policy,,http://www.elsevier.com/journals/transport-policy/0967-070x/guide-for-authors,https://www.journals.elsevier.com/transport-policy/editorial-board,,https://www.journals.elsevier.com/transport-policy,TRUE,,World Conference on Transport Research Society (WCTRS),http://www.wctrs.leeds.ac.uk/,,https://www.wikidata.org/wiki/Q15766387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0975-9476,Journal of Ayurveda and integrative medicine,,http://www.elsevier.com/journals/journal-of-ayurveda-and-integrative-medicine/0975-9476/guide-for-authors,https://www.journals.elsevier.com/journal-of-ayurveda-and-integrative-medicine/editorial-board,https://www.facebook.com/JAIM.Journal/,https://www.journals.elsevier.com/journal-of-ayurveda-and-integrative-medicine,TRUE,https://www.linkedin.com/company/www.jaim.in/about/,World Ayurveda Foundation,http://www.ayurworld.org/,,https://www.wikidata.org/wiki/Q6294824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
