issn,journal_title,accurate_title,author_instructions,editorial_board,facebook_url,home_page,linkedin_url,society_organization_1,society_organization_2,society_organization_3,society_organization_link_1,society_organization_link_2,society_organization_link_3,twitter_url,wikidata_url
1446-9235,Sleep and biological rhythms,,https://www.springer.com/journal/41105/submission-guidelines,https://www.springer.com/journal/41105/editors,,https://link.springer.com/journal/41105,,The Japanese Society of Sleep Research,The Asian Sleep Research Society,,http://jssr.jp/,http://www.asrsonline.org/,,,https://www.wikidata.org/wiki/Q15751455
1400-0350,Journal of coastal conservation,,https://www.springer.com/journal/11852/submission-guidelines,https://www.springer.com/journal/11852/editors,,https://link.springer.com/journal/11852,,The Coastal & Marine Union Association (EUCC),,,https://www.eucc.net/nl,,,,https://www.wikidata.org/wiki/Q1709834
1471-2326,BMC blood disorders,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q15755479
1091-255X,Journal of gastrointestinal surgery,,https://www.springer.com/journal/11605/submission-guidelines,https://www.springer.com/journal/11605/editors,,https://link.springer.com/journal/11605,,Society for Surgery of the Alimentary Tract,,,http://www.ssat.com/,,,,https://www.wikidata.org/wiki/Q15764393
1430-6387,Zeitschrift fuÃàr Politikwissenschaft,Zeitschrift für Politikwissenschaft,https://www.springer.com/journal/41358/submission-guidelines,https://www.springer.com/journal/41358/editors,,https://www.springer.com/journal/41358,,,,,,,,https://twitter.com/zpol_journal,https://www.wikidata.org/wiki/Q15724629
1432-8488,Journal of solid state electrochemistry (Print),Journal of solid state electrochemistry,https://www.springer.com/journal/10008/submission-guidelines,https://www.springer.com/journal/10008/editors,,https://link.springer.com/journal/10008,,,,,,,,,https://www.wikidata.org/wiki/Q3186944
1385-1292,Positivity,,https://www.springer.com/journal/11117/submission-guidelines,https://www.springer.com/journal/11117/editors,,https://www.springer.com/journal/11117,,,,,,,,,https://www.wikidata.org/wiki/Q15522138
2046-2530,Cilia,,,,,https://ciliajournal.biomedcentral.com/,,,,,,,,,https://www.wikidata.org/wiki/Q27724298
0032-390X,Polymer mechanics,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q96329095
2447-9462,Journal of Sedimentary Environments,,https://www.springer.com/journal/43217/submission-guidelines,https://www.springer.com/journal/43217/editors,,https://link.springer.com/journal/43217,,Universidade do Estado do Rio de Janeiro,Previous Journal homepage,,http://www.fgel.uerj.br/site/,https://www.e-publicacoes.uerj.br/index.php/jse/index,,,https://www.wikidata.org/wiki/Q50817631
0090-4104,Journal of Soviet mathematics,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q96329416
0033-2968,Psychological Studies,,https://www.springer.com/journal/12646/submission-guidelines,https://www.springer.com/journal/12646/editors,,https://www.springer.com/journal/12646,,"The National Academy of Psychology (NAOP), India",,,http://www.naopindia.org/,,,,https://www.wikidata.org/wiki/Q25099420
1874-8554,Scientific modeling and simulation,Scientific Modeling and Simulation SMNS,,,,https://link.springer.com/journal/10820,,,,,,,,,https://www.wikidata.org/wiki/Q96333535
0892-4635,LISP and symbolic computation,,,,,,,,,,,,,,
0372-820X,Zeitschrift fuÃàr Chemie und Industrie der Kolloide,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q53952438
0014-4851,Experimental mechanics,,https://www.springer.com/journal/11340/submission-guidelines,https://www.springer.com/journal/11340/editors,,https://www.springer.com/journal/11340,,"The Society for Experimental Mechanics, Inc",,,https://sem.org/,,,,https://www.wikidata.org/wiki/Q5421117
1358-3883,Tertiary education and management,,https://www.springer.com/journal/11233/submission-guidelines,https://www.springer.com/journal/11233/editors,,https://link.springer.com/journal/11233,,EAIR – The European Higher Education Society,,,https://www.eairweb.org/,,,,https://www.wikidata.org/wiki/Q15751059
