issn,journal_title,accurate_title,author_instructions,editorial_board,facebook_url,home_page,linkedin_url,society_organization_1,society_organization_2,society_organization_3,society_organization_link_1,society_organization_link_2,society_organization_link_3,twitter_url,wikidata_url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0961-0405,European environment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1086-1335,Disability compliance for higher education,,https://onlinelibrary.wiley.com/page/journal/19438001/homepage/forauthors.html,https://onlinelibrary.wiley.com/page/journal/19438001/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/19438001,,,,,,,,,https://www.wikidata.org/wiki/Q59556463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1475-3324,Food science & technology,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q96327677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949-3177,Federal grants & contracts,,,https://onlinelibrary.wiley.com/page/journal/19493185/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/19493185,,,,,,,,,https://www.wikidata.org/wiki/Q59556557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2159-0311,The journal of humanistic counseling,,,https://onlinelibrary.wiley.com/page/journal/21611939/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/21611939,,American Counseling Association,,,http://www.counseling.org/,,,,https://www.wikidata.org/wiki/Q15716424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0360-6384,Journal of polymer science,,,,,,,,,,,,,https://twitter.com/jpolymsci,https://www.wikidata.org/wiki/Q96329086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0361-8609,American journal of hematology,,https://onlinelibrary.wiley.com/page/journal/10968652/homepage/forauthors.html,https://onlinelibrary.wiley.com/page/journal/10968652/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/10968652,,,,,,,,,https://www.wikidata.org/wiki/Q4744246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1436-2597,CIT plus,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q96330763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942-7603,Drug testing and analysis,,,https://analyticalsciencejournals.onlinelibrary.wiley.com/hub/journal/19427611/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/19427611,,,,,,,,,https://www.wikidata.org/wiki/Q3040088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2575-6265,Plant-environment interactions,,,,,,,,,,,,,https://twitter.com/plantenvinterac,https://www.wikidata.org/wiki/Q96726343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1439-4243,Imaging & microscopy,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q96708346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932-1864,Statistical analysis and data mining,,https://onlinelibrary.wiley.com/page/journal/19321872/homepage/forauthors.html,https://onlinelibrary.wiley.com/page/journal/19321872/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/19321872,,American Statistical Association,,,http://www.amstat.org/,,,,https://www.wikidata.org/wiki/Q15749300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2698-5977,Electrochemical science advances,,,,,,,,,,,,,https://twitter.com/electrochemsci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0278-4513,Plant/operations progress,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q96328887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475-8817,Peptide science,,https://onlinelibrary.wiley.com/page/journal/24758817/homepage/forauthors.html,https://onlinelibrary.wiley.com/page/journal/24758817/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/24758817,,,,,,,,,https://www.wikidata.org/wiki/Q59554179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
