issn,journal_title,accurate_title,author_instructions,editorial_board,home_page,linkedin_url,society_organization_1,society_organization_link_1,twitter_url,wikidata_url
"[""2665-9298""]",Current research in genetics & development,,https://www.elsevier.com/journals/current-research-in-genetics-and-development/2665-9298/guide-for-authors,https://www.journals.elsevier.com/current-research-in-genetics-and-development/editorial-board,https://www.journals.elsevier.com/current-research-in-genetics-and-development,,,,,
"[""2666-5506""]",European economic review plus,,https://www.elsevier.com/journals/european-economic-review-plus/2666-5506/guide-for-authors,https://www.journals.elsevier.com/european-economic-review-plus/editorial-board,https://www.journals.elsevier.com/european-economic-review-plus,,,,,
"[""2666-5794""]",BrainScience,,https://www.elsevier.com/journals/brainscience/2666-5794/guide-for-authors,https://www.journals.elsevier.com/brainscience/editorial-board,https://www.journals.elsevier.com/brainscience,,,,,
"[""2666-7916""]",Cleaner production letters,,https://www.elsevier.com/journals/cleaner-production-letters/2666-7916/guide-for-authors,https://www.journals.elsevier.com/cleaner-production-letters/editorial-board,https://www.journals.elsevier.com/cleaner-production-letters,,,,,
"[""2667-0097""]",Global pediatrics,,https://www.elsevier.com/journals/global-pediatrics/2667-0097/guide-for-authors,https://www.journals.elsevier.com/global-pediatrics/editorial-board,https://www.journals.elsevier.com/global-pediatrics,,,,,
"[""2667-0259""]",Food hydrocolloids for health,,https://www.elsevier.com/journals/food-hydrocolloids-for-health/2667-0259/guide-for-authors,https://www.journals.elsevier.com/food-hydrocolloids-for-health/editorial-board,https://www.journals.elsevier.com/food-hydrocolloids-for-health,,,,,
"[""2667-0364""]",American journal of medicine open,,https://www.elsevier.com/journals/american-journal-of-medicine-open/2667-0364/guide-for-authors,https://www.journals.elsevier.com/american-journal-of-medicine-open/editorial-board,https://www.journals.elsevier.com/american-journal-of-medicine-open,,,,,
"[""2667-0747""]",Biophysical reports,,,https://www.cell.com/biophysreports/editorial-board,https://www.journals.elsevier.com/biophysical-reports,,,,,https://www.wikidata.org/wiki/Q27727219
"[""2667-193X""]",The Lancet regional health,The Lancet Regional Health - Americas,https://www.elsevier.com/journals/the-lancet-regional-health-americas/2667-193X/guide-for-authors,https://www.journals.elsevier.com/the-lancet-regional-health-americas/editorial-board,https://www.journals.elsevier.com/the-lancet-regional-health-americas,,,,https://twitter.com/lancetrh_americ,
"[""2667-3053""]",Intelligent systems with applications,,https://www.elsevier.com/journals/intelligent-systems-with-applications/2667-3053/guide-for-authors,https://www.journals.elsevier.com/intelligent-systems-with-applications/editorial-board,https://www.journals.elsevier.com/intelligent-systems-with-applications,,,,,
"[""2667-3436""]",Sleep epidemiology,,https://www.elsevier.com/journals/sleep-epidemiology/2667-3436/guide-for-authors,https://www.journals.elsevier.com/sleep-epidemiology/editorial-board,https://www.journals.elsevier.com/sleep-epidemiology,,,,,https://www.wikidata.org/wiki/Q22908843
"[""2667-3762""]",Advances in ophthalmology practice and research,,https://www.elsevier.com/journals/advances-in-ophthalmology-practice-and-research/2667-3762/guide-for-authors,https://www.journals.elsevier.com/advances-in-ophthalmology-practice-and-research/editorial-board,https://www.journals.elsevier.com/advances-in-ophthalmology-practice-and-research,,,,,
"[""2772-3712""]",Clinical complementary medicine and pharmacology,,https://www.elsevier.com/journals/clinical-complementary-medicine-and-pharmacology/2772-3712/guide-for-authors,https://www.journals.elsevier.com/clinical-complementary-medicine-and-pharmacology/editorial-board,https://www.journals.elsevier.com/clinical-complementary-medicine-and-pharmacology,,,,,
"[""2772-3909""]",Cleaner logistics and supply chain,,https://www.elsevier.com/journals/cleaner-logistics-and-supply-chain/2772-3909/guide-for-authors,https://www.journals.elsevier.com/cleaner-logistics-and-supply-chain/editorial-board,https://www.journals.elsevier.com/cleaner-logistics-and-supply-chain,https://dk.linkedin.com/in/cleaner-logistics-and-supply-chain-a43878210,,,,
"[""2772-3976""]",Cleaner materials,,https://www.elsevier.com/journals/cleaner-materials/2772-3976/guide-for-authors,https://www.journals.elsevier.com/cleaner-materials/editorial-board,https://www.journals.elsevier.com/cleaner-materials,,,,,
"[""2772-4247""]",Communications in transportation research,,https://www.elsevier.com/journals/communications-in-transportation-research/2772-4247/guide-for-authors,https://www.journals.elsevier.com/communications-in-transportation-research/editorial-board,https://www.journals.elsevier.com/communications-in-transportation-research,,,,,
"[""2772-4271""]",Energy nexus,,https://www.elsevier.com/journals/energy-nexus/2772-4271/guide-for-authors,https://www.journals.elsevier.com/energy-nexus/editorial-board,https://www.journals.elsevier.com/energy-nexus,,,,,
"[""2772-4425""]",Healthcare analytics,,https://www.elsevier.com/journals/healthcare-analytics/2772-4425/guide-for-authors,https://www.journals.elsevier.com/healthcare-analytics/editorial-board,https://www.journals.elsevier.com/healthcare-analytics,,,,,
"[""2772-5022""]",Applied food research,,https://www.elsevier.com/journals/applied-food-research/2772-5022/guide-for-authors,https://www.journals.elsevier.com/applied-food-research/editorial-board,https://www.journals.elsevier.com/applied-food-research,,,,,
"[""2772-5081""]",Digital chemical engineering,,https://www.elsevier.com/journals/digital-chemical-engineering/2772-5081/guide-for-authors,https://www.journals.elsevier.com/digital-chemical-engineering/editorial-board,https://www.journals.elsevier.com/digital-chemical-engineering,,Institution of Chemical Engineers,https://www.icheme.org/,,
"[""2772-5162""]",Magnetic resonance letters,,,,https://www.elsevier.com/journals/magnetic-resonance-letters/2772-5162,,,,,
"[""2772-5294""]",Brain and spine,,https://www.elsevier.com/journals/brain-and-spine/2772-5294/guide-for-authors,https://www.journals.elsevier.com/brain-and-spine/editorial-board,https://www.journals.elsevier.com/brain-and-spine,,EUROSPINE,https://www.eurospine.org/,,
"[""2772-5588""]",Chinese Medical Journal Pulmonary and Critical Care Medicine,,https://www.elsevier.com/journals/chinese-medical-journal-pulmonary-and-critical-care-medicine/2772-5588/guide-for-authors,https://www.journals.elsevier.com/chinese-medical-journal-pulmonary-and-critical-care-medicine/editorial-board,https://www.journals.elsevier.com/chinese-medical-journal-pulmonary-and-critical-care-medicine,,Chinese Medical Association,https://en.cma.org.cn/,,
"[""2772-5820""]",Advances in Sample Preparation,,https://www.elsevier.com/journals/advances-in-sample-preparation/2772-5820/guide-for-authors,https://www.journals.elsevier.com/advances-in-sample-preparation/editorial-board,https://www.journals.elsevier.com/advances-in-sample-preparation,,,,,
"[""2772-6134""]",Clinical Immunology Communications,,https://www.elsevier.com/journals/clinical-immunology-communications/2772-6134/guide-for-authors,https://www.journals.elsevier.com/clinical-immunology-communications/editorial-board,https://www.journals.elsevier.com/clinical-immunology-communications,,,,,
"[""2772-6533""]",Dialogues in Health,,https://www.elsevier.com/journals/dialogues-in-health/2772-6533/guide-for-authors,https://www.journals.elsevier.com/dialogues-in-health/editorial-board,https://www.journals.elsevier.com/dialogues-in-health,,,,https://twitter.com/dialogueshealth,
"[""2772-6568""]",Carbon Capture Science & Technology,,https://www.elsevier.com/journals/carbon-capture-science-and-technology/2772-6568/guide-for-authors,https://www.journals.elsevier.com/carbon-capture-science-and-technology/editorial-board,https://www.journals.elsevier.com/carbon-capture-science-and-technology,,,,,
"[""2772-6622""]",Decision Analytics Journal,,https://www.elsevier.com/journals/decision-analytics-journal/2772-6622/guide-for-authors,https://www.journals.elsevier.com/decision-analytics-journal/editorial-board,https://www.journals.elsevier.com/decision-analytics-journal,,,,,https://www.wikidata.org/wiki/Q50816095
"[""2772-6878""]",Annals of Vascular Surgery - Brief Reports and Innovations,,https://www.elsevier.com/journals/annals-of-vascular-surgery-brief-reports-and-innovations/2772-6878/guide-for-authors,https://www.journals.elsevier.com/annals-of-vascular-surgery-brief-reports-and-innovations/editorial-board,https://www.journals.elsevier.com/annals-of-vascular-surgery-brief-reports-and-innovations,,,,,
"[""2709-4723"", ""2772-2724""]",Chip,,https://www.elsevier.com/journals/chip/2709-4723/guide-for-authors,https://www.journals.elsevier.com/chip/editorial-board,https://www.journals.elsevier.com/chip,,,,,
"[""2667-193X""]",The Lancet regional health,The Lancet Regional Health - Americas,https://www.elsevier.com/journals/the-lancet-regional-health-americas/2667-193X/guide-for-authors,https://www.journals.elsevier.com/the-lancet-regional-health-americas/editorial-board,https://www.journals.elsevier.com/the-lancet-regional-health-americas,,,,https://twitter.com/lancetrh_americ,
"[""2667-3053""]",Intelligent systems with applications,,https://www.elsevier.com/journals/intelligent-systems-with-applications/2667-3053/guide-for-authors,https://www.journals.elsevier.com/intelligent-systems-with-applications/editorial-board,https://www.journals.elsevier.com/intelligent-systems-with-applications,,,,,
"[""2667-3436""]",Sleep epidemiology,,https://www.elsevier.com/journals/sleep-epidemiology/2667-3436/guide-for-authors,https://www.journals.elsevier.com/sleep-epidemiology/editorial-board,https://www.journals.elsevier.com/sleep-epidemiology,,,,,https://www.wikidata.org/wiki/Q22908843
"[""2772-4425""]",Healthcare analytics,,https://www.elsevier.com/journals/healthcare-analytics/2772-4425/guide-for-authors,https://www.journals.elsevier.com/healthcare-analytics/editorial-board,https://www.journals.elsevier.com/healthcare-analytics,,,,,
"[""2772-5162""]",Magnetic resonance letters,,,https://www.sciencedirect.com/journal/magnetic-resonance-letters/about/editorial-board,https://www.sciencedirect.com/journal/Magnetic-Resonance-Letters,,,,,
