issn,journal_title,accurate_title,author_instructions,editorial_board,home_page,society_organization_1,society_organization_link_1,twitter_url,wikidata_url
"[""0091-679X""]",Methods in cell biology,,,,https://www.sciencedirect.com/bookseries/methods-in-cell-biology,,,,https://www.wikidata.org/wiki/Q2638096
"[""0168-1273""]",Handbook on the physics and chemistry of rare earths,,,,https://www.sciencedirect.com/handbook/handbook-on-the-physics-and-chemistry-of-rare-earths,,,,https://www.wikidata.org/wiki/Q96329586
"[""2214-420X""]",Journal of reproductive health and medicine,,,,https://www.journals.elsevier.com/journal-of-reproductive-health-and-medicine,,,,https://www.wikidata.org/wiki/Q96319681
"[""2255-5536""]",Jornal de Pediatria,Jornal de Pediatria (Versão em Português),,,https://www.journals.elsevier.com/jornal-de-pediatria-versao-em-portugues,,,,https://www.wikidata.org/wiki/Q50816450
"[""2352-2151""]",Agri gene,,,,https://www.journals.elsevier.com/agri-gene,,,,https://www.wikidata.org/wiki/Q27727679
"[""2352-9393""]",Clinical nutrition experimental,,https://www.elsevier.com/journals/clinical-nutrition-experimental/2352-9393/guide-for-authors,,https://www.journals.elsevier.com/clinical-nutrition-experimental,,,,https://www.wikidata.org/wiki/Q50817108
"[""2452-199X""]",Bioactive materials,,http://www.keaipublishing.com/en/journals/bioactive-materials/guide-for-authors/,https://www.sciencedirect.com/journal/bioactive-materials/about/editorial-board,https://www.sciencedirect.com/journal/bioactive-materials,,,,https://www.wikidata.org/wiki/Q50817670
"[""2542-5633""]",Oncology signaling,,http://www.keaipublishing.com/en/journals/oncology-signaling/guide-for-authors/,https://www.sciencedirect.com/journal/oncology-signaling/about/editorial-board,https://www.sciencedirect.com/journal/oncology-signaling,,,,https://www.wikidata.org/wiki/Q96320146
"[""2589-2088""]",Solid state electronics letters,,http://www.keaipublishing.com/en/journals/solid-state-electronics-letters/guide-for-authors/,https://www.sciencedirect.com/journal/solid-state-electronics-letters/about/editorial-board,https://www.sciencedirect.com/journal/solid-state-electronics-letters,,,,https://www.wikidata.org/wiki/Q96731841
"[""2590-177X""]",Journal of biomedical informatics,Journal of Biomedical Informatics: X,https://www.elsevier.com/journals/journal-of-biomedical-informatics/1532-0464/guide-for-authors,https://www.journals.elsevier.com/journal-of-biomedical-informatics/editorial-board,https://www.journals.elsevier.com/journal-of-biomedical-informatics-x,,,https://twitter.com/j_biomed_info?lang=en,https://www.wikidata.org/wiki/Q96321111
