issn,journal_title,accurate_title,author_instructions,editorial_board,facebook_url,home_page,linkedin_url,society_organization_1,society_organization_2,society_organization_3,society_organization_link_1,society_organization_link_2,society_organization_link_3,twitter_url,wikidata_url
"[""1061-4036"", ""1546-1718""]",Nature genetics,,https://www.nature.com/ng/for-authors,https://www.nature.com/ng/about/editors,,https://www.nature.com/ng/,,,,,,,,https://twitter.com/naturegenet,https://www.wikidata.org/wiki/Q976454
"[""2056-676X""]",Nature reviews,Nature Reviews Disease Primers,,,,https://www.nature.com/nrdp/,,,,,,,,,https://www.wikidata.org/wiki/Q24908540
"[""1878-7649"", ""1878-7657""]",European geriatric medicine,,https://www.springer.com/journal/41999/submission-guidelines,https://www.springer.com/journal/41999/editors,,https://www.springer.com/journal/41999,,,,,,,,,https://www.wikidata.org/wiki/Q27723582
"[""1476-5578"", ""1359-4184""]",Molecular psychiatry,,,https://www.nature.com/mp/editors/editorial-board,,https://www.nature.com/mp/,,,,,,,,,https://www.wikidata.org/wiki/Q6895973
"[""1573-2630"", ""0165-5701""]",International ophtalmology,,https://www.springer.com/journal/10792/submission-guidelines,https://www.springer.com/journal/10792/editors,,https://www.springer.com/journal/10792,,,,,,,,,https://www.wikidata.org/wiki/Q15763839
"[""2056-7944""]",npj genomic medicine,,,,,https://www.nature.com/npjgenmed/,,,,,,,,,https://www.wikidata.org/wiki/Q27727516
"[""0974-3626"", ""0973-7103"", ""0253-4134""]",Proceedings of the Indian Academy of Sciences. Chemical sciences,Journal of Chemical Sciences,https://www.springer.com/journal/12039/submission-guidelines,https://www.springer.com/journal/12039/editors,,https://www.springer.com/journal/12039,,,,,,,,,https://www.wikidata.org/wiki/Q15715953
"[""2397-3358""]",Nature reviews,Nature Reviews Chemistry,,,,https://www.nature.com/natrevchem/,,,,,,,,,https://www.wikidata.org/wiki/Q96319841
"[""0341-2687"", ""2366-6153""]",Schmalenbach Journal of Business Research,,https://www.springer.com/journal/41471/submission-guidelines#Instructions%20for%20Authors,https://www.springer.com/journal/41471/editors,https://www.facebook.com/sbur.info/,https://www.springer.com/journal/41471,,,,,,,,,https://de.wikipedia.org/wiki/Schmalenbach_Journal_of_Business_Research
"[""1759-4782"", ""1759-4774""]",Nature reviews,Nature Reviews Clinical Oncology,,,,https://www.nature.com/nrclinonc/,,,,,,,,,https://www.wikidata.org/wiki/Q641640
"[""2058-7546""]",Nature energy,,https://www.nature.com/nenergy/info/gta,,,https://www.nature.com/nenergy/,,,,,,,,,https://www.wikidata.org/wiki/Q27431245
"[""2522-5839""]",Nature machine intelligence,,,,,https://www.nature.com/natmachintell/,,,,,,,,,https://www.wikidata.org/wiki/Q44062926
"[""1745-2473"", ""1745-2481""]",Nature physics,,,,,https://www.nature.com/nphys/,,,,,,,,,https://www.wikidata.org/wiki/Q2108381
"[""0974-9853"", ""0970-3950""]",MĀPAN. Journal of Metrology Society of India,,https://www.springer.com/journal/12647/submission-guidelines,https://www.springer.com/journal/12647/editors,,https://www.springer.com/journal/12647,,Metrology Society of India,,,http://metrologyindia.org/,,,,https://www.wikidata.org/wiki/Q96331919
"[""1754-2189"", ""1750-2799""]",Nature protocols,,,,,https://www.nature.com/nprot/,,,,,,,,,https://www.wikidata.org/wiki/Q3337109
"[""0026-9255"", ""1436-5081""]",Monatshefte für Mathematik,,https://www.springer.com/journal/605/submission-guidelines,https://www.springer.com/journal/605/editors,,https://www.springer.com/journal/605,,,,,,,,,https://www.wikidata.org/wiki/Q1944084
"[""1466-4879"", ""1476-5470""]",Genes and immunity,,https://www.nature.com/gene/authors-and-referees/gta,https://www.nature.com/gene/editors/editorial-board,,https://www.nature.com/gene/,,,,,,,,,https://www.wikidata.org/wiki/Q15745246
"[""2509-4580"", ""2509-4599""]",MTZ extra,,,,,https://link.springer.com/journal/41490/volumes-and-issues,,,,,,,,,https://www.wikidata.org/wiki/Q96716534
"[""2044-5385""]",Blood cancer journal,,https://www.nature.com/bcj/authors-and-referees/gta,,,https://www.nature.com/bcj/,,,,,,,,,https://www.wikidata.org/wiki/Q2464036
"[""2052-7276"", ""2662-6810""]",Horticulture research,,,https://www.nature.com/hortres/about/editorial-board,,https://www.nature.com/hortres/,,,,,,,,,https://www.wikidata.org/wiki/Q27726631
"[""1884-4057"", ""1884-4049""]",NPG Asia materials,,https://www.nature.com/am/authors-and-referees,https://www.nature.com/am/about/editors,,https://www.nature.com/am/,,,,,,,,https://twitter.com/asiamaterials,https://www.wikidata.org/wiki/Q27727403
"[""2044-4052""]",Nutrition & diabetes,,https://www.nature.com/nutd/authors-and-referees,https://www.nature.com/nutd/editors,,https://www.nature.com/nutd/,,,,,,,,https://twitter.com/NutDiab_Journal,https://www.wikidata.org/wiki/Q27723824
"[""1881-1469"", ""0021-8820""]",Journal of antibiotics,,https://www.nature.com/ja/authors-and-referees,https://www.nature.com/ja/editors,,https://www.nature.com/ja/,,Japan Antibiotics Research Association,Society for Actinomycetes Japan,,http://www.antibiotics.or.jp/jara/jara-top.htm,http://www.actino.jp/index-e.html,,,https://www.wikidata.org/wiki/Q7743552
