issn,journal_title,accurate_title,author_instructions,editorial_board,facebook_url,home_page,linkedin_url,society_organization_1,society_organization_2,society_organization_link_1,society_organization_link_2,society_organization_3,society_organization_link_3,twitter_url,wikidata_url
2572-3618,Comparative literature--East & West =,Comparative literature: East & West,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=rcle20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=rcle20,,https://www.tandfonline.com/toc/rcle20/current,,,,,,,,,https://www.wikidata.org/wiki/Q96702280
0020-739X,International journal of mathematical education in science and technology,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=tmes20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=tmes20,,https://www.tandfonline.com/toc/tmes20/current,,,,,,,,https://twitter.com/MathEdSciTech,https://www.wikidata.org/wiki/Q15765610
0778-3124,"Archives internationales de physiologie, de biochimie et de biophysique",Archives of Physiology and Biochemistry,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=iarp20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=iarp20,,https://www.tandfonline.com/toc/iarp20/current,,,,,,,,,https://www.wikidata.org/wiki/Q15746394
0004-0851,Arctic and alpine research,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q26849272
1462-6268,Digital creativity,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=ndcr20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=ndcr20,,https://www.tandfonline.com/toc/ndcr20/current,,,,,,,,,https://www.wikidata.org/wiki/Q15749785
1473-7507,Innovations in teaching and learning in information and computer sciences,,,,,https://www.tandfonline.com/toc/rhep14/current,,,,,,,,,https://www.wikidata.org/wiki/Q15758771
2154-8455,International journal of science education,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=tsed20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=tsed20,,https://www.tandfonline.com/toc/tsed20/current,,,,,,,,,https://www.wikidata.org/wiki/Q15764781
1443-2471,Preview,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q15814237
0140-6566,Molecular crystals and liquid crystals,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=gmcl20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=gmcl20,,https://www.tandfonline.com/toc/gmcl20/current,,,,,,,,,https://www.wikidata.org/wiki/Q15754505
1943-6149,Middle East critique,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=ccri20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=ccri20,,https://www.tandfonline.com/toc/ccri20/current,,,,,,,,,https://www.wikidata.org/wiki/Q6841334
1463-1369,Asian ethnicity,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=caet20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=caet20,,https://www.tandfonline.com/toc/caet20/current,,,,,,,,,https://www.wikidata.org/wiki/Q15752599
0571-8716,Audio visual media,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q96705946
1752-0843,Macroeconomics and finance in emerging market economies,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=reme20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=reme20,,https://www.tandfonline.com/toc/reme20/current,,,,,,,,,https://www.wikidata.org/wiki/Q15817641
1028-2580,Contemporary justice review,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=gcjr20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=gcjr20,https://www.facebook.com/contemporaryjusticereview/,https://www.tandfonline.com/toc/gcjr20/current,,,,,,,,https://twitter.com/cjrjournal?lang=en,https://www.wikidata.org/wiki/Q15765920
1748-3107,Disability and rehabilitation,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=idre20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=idre20,,https://www.tandfonline.com/toc/idre20/current,,,,,,,,,https://www.wikidata.org/wiki/Q5281184
1384-1289,The journal of policy reform,,,,,https://www.tandfonline.com/toc/gpre19/current,,,,,,,,,
1746-0654,Early popular visual culture,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=repv20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=repv20,,https://www.tandfonline.com/toc/repv20/current,,,,,,,,,https://www.wikidata.org/wiki/Q5326727
1533-2861,Journal of Internet commerce,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=wico20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=wico20,,https://www.tandfonline.com/toc/wico20/current,,,,,,,,,https://www.wikidata.org/wiki/Q15767276
1070-5511,Structural equation modeling,Structural Equation Modeling: A Multidisciplinary Journal,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=hsem20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=hsem20,,https://www.tandfonline.com/toc/hsem20/current,,,,,,,,,https://www.wikidata.org/wiki/Q7624989
1472-5843,African identities,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=cafi20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=cafi20,,https://www.tandfonline.com/toc/cafi20/current,,,,,,,,,https://www.wikidata.org/wiki/Q4689790
0812-3985,Exploration geophysics,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=texg20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=texg20,,https://www.tandfonline.com/toc/texg20/current,,Australian Society of Exploration Geophysicists,,https://www.aseg.org.au/,,,,,https://www.wikidata.org/wiki/Q15755787
2058-802X,Impact,,,,,https://www.tandfonline.com/toc/timp20/current,,Operational Research Society,,http://www.theorsociety.com/,,,,,https://www.wikidata.org/wiki/Q15816403
0167-7314,International journal of crude drug research,Pharmaceutical Biology,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=iphb20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=iphb20,,https://www.tandfonline.com/toc/iphb20/current,,,,,,,,,https://www.wikidata.org/wiki/Q7180726
0923-7984,Bijdragen van de Philosophische en Theologische Faculteiten der Nederlandsche Jezuieten,,,,,,,,,,,,,,
2377-4657,Corrections:,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=ucor20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=ucor20,,https://www.tandfonline.com/toc/ucor20/current,,Corrections Section of the ACJS,,http://www.acjs.org/page/CorrectionsSection,,,,https://twitter.com/correctionsr,https://www.wikidata.org/wiki/Q63871606
1092-6771,"Journal of aggression, maltreatment & trauma",,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=wamt20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=wamt20,,https://www.tandfonline.com/toc/wamt20/current,,,,,,,,,https://www.wikidata.org/wiki/Q15760810
1932-2887,Journal of psychological trauma,"Journal of Aggression, Maltreatment & Trauma",https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=wamt20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=wamt20,,https://www.tandfonline.com/toc/wamt20/current,,,,,,,,,https://www.wikidata.org/wiki/Q15760810
1941-5796,The Philosophical magazine,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=tphm20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=tphm20,,https://www.tandfonline.com/toc/tphm20/current,,,,,,,,,https://www.wikidata.org/wiki/Q96737635
1949-8284,Journal of sustainable real estate,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=rsre20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=rsre20,,https://www.tandfonline.com/toc/rsre20/current,,American Real Estate Society,,https://www.aresnet.org/,,,,,https://www.wikidata.org/wiki/Q96329501
1492-7713,Leisure,Leisure/Loisir,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=rloi20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=rloi20,,https://www.tandfonline.com/toc/rloi20/current,,Canadian Association for Leisure Studies,,http://www.cals.uwaterloo.ca/,,,,https://twitter.com/leisureloisir?lang=en,https://www.wikidata.org/wiki/Q15760428
0883-8151,Journal of broadcasting & electronic media,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=hbem20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=hbem20,,https://www.tandfonline.com/toc/hbem20/current,,Broadcast Education Association (BEA),,http://www.beaweb.org/,,,,,https://www.wikidata.org/wiki/Q15756150
1225-9276,Asian Journal of Women's Studies,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=rajw20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=rajw20,,https://www.tandfonline.com/toc/rajw20/current,,"Asian Center for Women's Studies, Ewha Womans University",,http://acws.ewha.ac.kr/eng/,,,,,https://www.wikidata.org/wiki/Q15767191
2158-2041,Contemporary social science,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=rsoc21,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=rsoc21,,https://www.tandfonline.com/toc/rsoc21/current,,Academy of Social Sciences,,http://www.acss.org.uk/,,,,,https://www.wikidata.org/wiki/Q63871604
1748-2976,Scandinavian journal of food and nutrition,,,,,https://www.tandfonline.com/toc/zfnr19/current,,,,,,,,,https://www.wikidata.org/wiki/Q10662399
1015-549X,Pretexts,Pretexts: Literary and Cultural Studies,,,,https://www.tandfonline.com/toc/cpsw20/current,,,,,,,,,https://www.wikidata.org/wiki/Q96727902
0030-9230,Paedagogica historica,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=cpdh20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=cpdh20,,https://www.tandfonline.com/toc/cpdh20/current,,,,,,,,,https://www.wikidata.org/wiki/Q15752695
1061-0405,Journal of Russian and East European psychology,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=mrpo20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=mrpo20,,https://www.tandfonline.com/toc/mrpo20/current,,,,,,,,,https://www.wikidata.org/wiki/Q15765792
0146-3373,Communication quarterly,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=rcqu20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=rcqu20,,https://www.tandfonline.com/toc/rcqu20/current,,Eastern Communication Association (ECA),,http://www.ecasite.org/,,,,,https://www.wikidata.org/wiki/Q15734669
0272-2011,The American review of Canadian studies,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=rarc20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=rarc20,,https://www.tandfonline.com/toc/rarc20/current,,Association for Canadian Studies in the United States (ACSUS),,http://www.acsus.org/,,,,,https://www.wikidata.org/wiki/Q15750863
1476-7724,"Globalisation, societies and education",,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=cgse20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=cgse20,,https://www.tandfonline.com/toc/cgse20/current,,,,,,,,,https://www.wikidata.org/wiki/Q15761472
1091-367X,Measurement in physical education and exercise science,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=hmpe20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=hmpe20,,https://www.tandfonline.com/toc/hmpe20/current,,,,,,,,,https://www.wikidata.org/wiki/Q15760085
1749-6535,Ethics & social welfare,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=resw20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=resw20,,https://www.tandfonline.com/toc/resw20/current,,,,,,,,,https://www.wikidata.org/wiki/Q15761582
0106-2301,The Scandinavian psychoanalytic review,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=rspr20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=rspr20,,https://www.tandfonline.com/toc/rspr20/current,,,,,,,,,https://www.wikidata.org/wiki/Q15765084
0157-6895,Archives and manuscripts,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=raam20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=raam20,,https://www.tandfonline.com/toc/raam20/current,,,,,,,,,https://www.wikidata.org/wiki/Q15745249
1075-0673,Studies in newspaper and periodical history,Media History,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=cmeh20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=cmeh20,,https://www.tandfonline.com/toc/cmeh20/current,,,,,,,,,https://www.wikidata.org/wiki/Q15757033
1537-6516,Toxicology mechanisms and methods,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=itxm20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=itxm20,,https://www.tandfonline.com/toc/itxm20/current,,,,,,,,,https://www.wikidata.org/wiki/Q7830408
0260-4779,The International journal of museum management and curatorship,Museum Management and Curatorship,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=rmmc20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=rmmc20,,https://www.tandfonline.com/toc/rmmc20/current,,,,,,,,,https://www.wikidata.org/wiki/Q6940665
0280-6495,Tellus,Tellus A: Dynamic Meteorology and Oceanography,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=zela20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=zela20,,https://www.tandfonline.com/toc/zela20/current,,"Department of Meteorology (MISU), Stockholm University",,http://www.misu.su.se/,,,,,https://www.wikidata.org/wiki/Q7697699
2688-3597,Local development & society,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=rlds20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=rlds20,,https://www.tandfonline.com/toc/rlds20/current,,,,,,,,,
2206-3374,Communication research and practice,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=rcrp20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=rcrp20,https://www.facebook.com/commresprac,https://www.tandfonline.com/toc/rcrp20/current,,Australian and New Zealand Communication Association (ANZCA),,http://www.anzca.net/,,,,https://twitter.com/crp_journal,https://www.wikidata.org/wiki/Q63871598
2167-4736,Journal of the African Literature Association,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=rala20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=rala20,,https://www.tandfonline.com/toc/rala20/current,,African Literature Association,,https://africanlit.org/,,,,https://twitter.com/journalaflit,https://www.wikidata.org/wiki/Q63871505
0272-3646,Physical geography,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=tphy20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=tphy20,,https://www.tandfonline.com/toc/tphy20/current,,,,,,,,,https://www.wikidata.org/wiki/Q15760525
