issn,journal_title,accurate_title,author_instructions,editorial_board,facebook_url,home_page,linkedin_url,society_organization_1,society_organization_2,society_organization_3,society_organization_link_1,society_organization_link_2,society_organization_link_3,twitter_url,wikidata_url
"[""2765-8511""]",Sustainable environment,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=oaes21,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=oaes21,,https://www.tandfonline.com/toc/oaes21/current,,,,,,,,,https://www.wikidata.org/wiki/Q50817743
"[""2690-6023"", ""2690-6015""]",Journal of first-generation student success,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=ufgs20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=ufgs20,,https://www.tandfonline.com/toc/ufgs20/current,,,,,,,,,
"[""2169-0014"", ""0972-0510""]",Journal of Statistics & Management Systems,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=tsms20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=tsms20,,https://www.tandfonline.com/toc/tsms20/current,,Taru Publications,,,http://www.tarupublications.com/our-journals.htm,,,,https://www.wikidata.org/wiki/Q15763304
"[""1447-3828"", ""2056-6077""]",WFOT Bulletin,World Federation of Occupational Therapists Bulletin,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=yotb20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=yotb20,,https://www.tandfonline.com/toc/yotb20/60/1,,World Federation of Occupational Therapists,,,https://www.wfot.org/,,,,https://www.wikidata.org/wiki/Q63871822
"[""2766-9645""]",All earth,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=tgda21,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=tgda21,,https://www.tandfonline.com/toc/tgda21/current,,,,,,,,,
"[""1042-0150"", ""1026-549X"", ""1029-4953""]",Radiation Effects And Defects In Solids,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=grad20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=grad20,,https://www.tandfonline.com/toc/grad20/current,,,,,,,,,https://www.wikidata.org/wiki/Q7280333
"[""2169-3277""]",Production & manufacturing research,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=tpmr20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=tpmr20,,https://www.tandfonline.com/toc/tpmr20/current,,,,,,,,,https://www.wikidata.org/wiki/Q27725860
"[""0250-0167"", ""1753-5379""]",Communicatio,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=rcsa20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=rcsa20,,https://www.tandfonline.com/toc/rcsa20/current,,UNISA,,,https://www.unisa.ac.za/,,,,https://www.wikidata.org/wiki/Q15762638
"[""0957-4042"", ""1470-1367""]",Women,Women: A Cultural Review,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=rwcr20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=rwcr20,,https://www.tandfonline.com/loi/rwcr20,,,,,,,,,https://www.wikidata.org/wiki/Q15765661
"[""0897-4454"", ""1541-0323""]",Women & criminal justice,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=wwcj20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=wwcj20,,https://www.tandfonline.com/toc/wwcj20/current,,,,,,,,,https://www.wikidata.org/wiki/Q15767630
"[""1541-1109"", ""0194-262X""]",Science & technology libraries,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=wstl20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=wstl20,,https://www.tandfonline.com/loi/wstl20,,,,,,,,,https://www.wikidata.org/wiki/Q15817085
"[""1029-0478"", ""1026-7816"", ""1061-0278""]",Supramolecular chemistry (CD-ROM),Supramolecular chemistry,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=gsch20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=gsch20,,https://www.tandfonline.com/toc/gsch20/current,,,,,,,,,
"[""1026-7786"", ""0233-1888"", ""1029-4910""]",Statistics (Berlin),Statistics,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=gsta20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=gsta20,,https://www.tandfonline.com/toc/gsta20/current,,,,,,,,,https://www.wikidata.org/wiki/Q15750838
"[""1741-5349"", ""2045-0648""]",Veterinary nursing,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=tvnj20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=tvnj20,,https://www.tandfonline.com/toc/tvnj20/current,,British Veterinary Nursing Association,,,https://bvna.org.uk/,,,,https://www.wikidata.org/wiki/Q63871816
"[""1563-5325"", ""1026-7719"", ""1042-6507""]","Phosphorus, sulfur, and silicon and the related elements (CD-ROM)","Phosphorus, sulfur, and silicon and the related elements",https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=gpss20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=gpss20,,https://www.tandfonline.com/toc/gpss20/current,,,,,,,,,https://www.wikidata.org/wiki/Q3381516
"[""1557-2986"", ""1353-7113""]",Nationalism & ethnic politics,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=fnep20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=fnep20,,https://www.tandfonline.com/toc/fnep20/current,,,,,,,,,https://www.wikidata.org/wiki/Q15764595
"[""1607-8489"", ""1026-7530"", ""1058-4587""]",Integrated ferroelectrics (CD-ROM),Integrated ferroelectrics,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=ginf20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=ginf20,,https://www.tandfonline.com/toc/ginf20/current,,,,,,,,,https://www.wikidata.org/wiki/Q15759651
"[""1026-7417"", ""1061-8562"", ""1029-0257""]",International journal of computational fluid dynamics (CD-ROM),International journal of computational fluid dynamics,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=gcfd20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=gcfd20,,https://www.tandfonline.com/toc/gcfd20/current,,,,,,,,,https://www.wikidata.org/wiki/Q15761416
"[""2332-0753"", ""0210-2412""]",Revista española de financiación y contabilidad,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=refc20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=refc20,,https://www.tandfonline.com/toc/refc20/current,,AECA - Asociación Española de Contabilidad y Administración de Empresas,,,https://aeca.es/,,,https://twitter.com/refc_sjfa?lang=en,https://www.wikidata.org/wiki/Q58011491
"[""2474-0527""]",Canadian Journal Of Pain,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=ucjp20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=ucjp20,,https://www.tandfonline.com/toc/ucjp20/current,,,,,,,,,https://www.wikidata.org/wiki/Q96320346
"[""1743-2790"", ""0308-0188""]","ISR, interdisciplinary science reviews",,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=yisr20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=yisr20,,https://www.tandfonline.com/toc/yisr20/current,,"Institute of Materials, Minerals & Mining",,,https://www.iom3.org/,,,https://twitter.com/intscireviews,https://www.wikidata.org/wiki/Q15754282
"[""0969-9082"", ""1747-5848""]",Women's writing,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=rwow20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=rwow20,,https://www.tandfonline.com/toc/rwow20/current,,,,,,,,,https://www.wikidata.org/wiki/Q15754174
"[""0899-8280"", ""1525-3252""]",Proceedings,Baylor University Medical Center Proceedings,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=ubmc20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=ubmc20,,https://www.tandfonline.com/toc/ubmc20/current,,,,,,,,,https://www.wikidata.org/wiki/Q26842047
"[""1026-7654"", ""1048-5252"", ""1029-0311""]",Journal of nonparametric statistics (CD-ROM),Journal of nonparametric statistics,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=gnst20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=gnst20,,https://www.tandfonline.com/toc/gnst20/current,,,,,,,,,https://www.wikidata.org/wiki/Q15761618
"[""1029-2403"", ""1042-8194"", ""1026-8022""]",Leukemia & lymphoma (CD-ROM),Leukemia & lymphoma,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=ilal20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=ilal20,,https://www.tandfonline.com/toc/ilal20/current,,,,,,,,,https://www.wikidata.org/wiki/Q6534493
"[""0092-623X"", ""1521-0715""]",Journal of sex & marital therapy,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=usmt20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=usmt20,,https://www.tandfonline.com/toc/usmt20/current,,American Association of Sexuality Educators Counselors and Therapists,International Academy of Sex Research,Society for Sex Therapy & Research,https://www.aasect.org/,http://www.iasrsite.org/,https://sstarnet.org/,,https://www.wikidata.org/wiki/Q6295902
"[""1067-828X"", ""1547-0652""]",Journal of child & adolescent substance abuse,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=wcas20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=wcas20,,https://www.tandfonline.com/toc/wcas20/current,,,,,,,,,https://www.wikidata.org/wiki/Q15756615
