issn,journal_title,accurate_title,author_instructions,editorial_board,facebook_url,home_page,linkedin_url,society_organization_1,society_organization_2,society_organization_3,society_organization_link_1,society_organization_link_2,society_organization_link_3,twitter_url,wikidata_url
"[""1471-0366"", ""1471-0358""]",Journal of agrarian change,,https://onlinelibrary.wiley.com/page/journal/14710366/homepage/forauthors.html,https://onlinelibrary.wiley.com/page/journal/14710366/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/14710366,,,,,,,,,https://www.wikidata.org/wiki/Q15710069
"[""1472-4642"", ""1366-9516""]",Diversity and distributions,,https://onlinelibrary.wiley.com/page/journal/14724642/homepage/forauthors.html,https://onlinelibrary.wiley.com/page/journal/14724642/homepage/editorialboard.html,https://www.facebook.com/consbiog/,https://onlinelibrary.wiley.com/journal/14724642,,,,,,,,https://twitter.com/consbiog?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://www.wikidata.org/wiki/Q1230581
"[""1474-9718"", ""1474-9726""]",Aging cell,,https://onlinelibrary.wiley.com/page/journal/14749726/homepage/forauthors.html,https://onlinelibrary.wiley.com/page/journal/14749726/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/14749726,,Anatomical Society,,,https://www.anatsoc.org.uk/,,,https://twitter.com/agingcell?lang=en,https://www.wikidata.org/wiki/Q2221073
"[""1477-8947"", ""0165-0203""]",Natural resources forum,,https://onlinelibrary.wiley.com/page/journal/14778947/homepage/forauthors.html,https://onlinelibrary.wiley.com/page/journal/14778947/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/14778947,,United Nations,,,http://sustainabledevelopment.un.org/,,,,https://www.wikidata.org/wiki/Q6980597
"[""1478-596X"", ""1478-5951""]",The international journal of medical robotics and computer assisted surgery,,https://onlinelibrary.wiley.com/page/journal/1478596x/homepage/forauthors.html,https://onlinelibrary.wiley.com/page/journal/1478596x/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/1478596x,,Clinical Robotic Surgery Association,,,http://www.clinicalrobotics.com/,,,,https://www.wikidata.org/wiki/Q15761881
"[""1521-3870"", ""0942-5616""]",Mathematical logic quarterly,,https://onlinelibrary.wiley.com/page/journal/15213870/homepage/2256_authorguidelines.html,https://onlinelibrary.wiley.com/page/journal/15213870/homepage/2256_edbd.html,,https://onlinelibrary.wiley.com/journal/15213870,,,,,,,,,https://www.wikidata.org/wiki/Q15754599
"[""1521-415X"", ""0045-205X""]",Biologie in unserer Zeit,,,,,https://onlinelibrary.wiley.com/journal/1521415x,,VBIO Verbandsnachrichten,,,http://www.vbio.de/,,,,https://www.wikidata.org/wiki/Q864461
"[""1523-1496"", ""1099-2871""]","Heat transfer, Asian research",Heat Transfer,https://onlinelibrary.wiley.com/page/journal/15231496/homepage/forauthors.html,https://onlinelibrary.wiley.com/page/journal/15231496/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/26884542,,,,,,,,,https://www.wikidata.org/wiki/Q15755752
"[""0866-7144""]",Tạp chí Hóa học,Vietnam Journal of Chemistry,https://onlinelibrary.wiley.com/page/journal/25728288/homepage/e278_forauthors.html,https://onlinelibrary.wiley.com/page/journal/25728288/homepage/E278_edbd.html,,https://onlinelibrary.wiley.com/journal/25728288,,,,,,,,,https://www.wikidata.org/wiki/Q96732693
"[""1523-2409"", ""1745-493X""]",The journal of supply chain management,,https://onlinelibrary.wiley.com/page/journal/1745493x/homepage/forauthors.html,https://onlinelibrary.wiley.com/page/journal/1745493x/homepage/editorialboard.html,https://www.facebook.com/JournalofSCM/,https://onlinelibrary.wiley.com/journal/1745493x,https://www.linkedin.com/company/journalofsupplychainmanagement,,,,,,,,https://www.wikidata.org/wiki/Q1709871
"[""1524-6175"", ""1751-7176""]",The journal of clinical hypertension,,https://onlinelibrary.wiley.com/page/journal/17517176/homepage/forauthors.html,https://onlinelibrary.wiley.com/page/journal/17517176/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/17517176,,,,,,,,,https://www.wikidata.org/wiki/Q15764150
"[""1525-2027""]","Geochemistry, geophysics, geosystems",,,https://agupubs.onlinelibrary.wiley.com/hub/journal/15252027/editorial-board.html,,https://onlinelibrary.wiley.com/journal/15252027,,,,,,,,,https://www.wikidata.org/wiki/Q15759647
"[""1525-1403"", ""1094-7159""]",Neuromodulation,Neuromodulation: Technology at the Neural Interface,https://onlinelibrary.wiley.com/page/journal/15251403/homepage/forauthors.html,https://onlinelibrary.wiley.com/page/journal/15251403/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/15251403,,International Neuromodulation Society,,,http://www.neuromodulation.com/,,,https://twitter.com/jneuromod,https://www.wikidata.org/wiki/Q15758089
"[""1526-9914""]",Journal of applied clinical medical physics,,https://aapm.onlinelibrary.wiley.com/hub/journal/15269914/about/author-guidelines,https://aapm.onlinelibrary.wiley.com/hub/journal/15269914/editorial-board/editorial-board,,https://aapm.onlinelibrary.wiley.com/journal/15269914,https://www.linkedin.com/company/journal-of-applied-clinical-medical-physics/,American Association of Physicists in Medicine,,,https://w3.aapm.org/org/,,,,https://www.wikidata.org/wiki/Q27714925
"[""1526-4025"", ""1524-1904""]",Applied stochastic models in business and industry,,https://onlinelibrary.wiley.com/page/journal/15264025/homepage/forauthors.html,https://onlinelibrary.wiley.com/page/journal/15264025/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/15264025,,,,,,,,,https://www.wikidata.org/wiki/Q15765621
"[""1530-261X""]",Atmospheric science letters,,https://rmets.onlinelibrary.wiley.com/hub/journal/1530261X/about/author-guidelines,https://rmets.onlinelibrary.wiley.com/hub/journal/1530261X/editorial-board/editorial-board,,https://rmets.onlinelibrary.wiley.com/journal/1530261x,,,,,,,,,https://www.wikidata.org/wiki/Q15754458
"[""1527-6546"", ""1547-5069""]",Journal of nursing scholarship,,https://sigmapubs.onlinelibrary.wiley.com/hub/journal/15475069/about/forauthors,https://sigmapubs.onlinelibrary.wiley.com/hub/journal/15475069/about/editorialboard,,https://sigmapubs.onlinelibrary.wiley.com/journal/15475069,,"The Honor Society of Nursing, Sigma Theta Tau International",,,https://www.sigmanursing.org/,,,,https://www.wikidata.org/wiki/Q15754638
"[""1539-1663""]",Vadose zone journal,,https://www.soils.org/publications/journals/author-resources/,https://acsess.onlinelibrary.wiley.com/journal/15391663/editorial-board/editorial-board,,https://acsess.onlinelibrary.wiley.com/journal/15391663,,Soil Science Society of American,,,https://www.soils.org/,,,https://twitter.com/vadosezonej?,https://www.wikidata.org/wiki/Q15759285
"[""1527-7712"", ""2325-8608""]",The major gifts report,,,https://onlinelibrary.wiley.com/page/journal/23258608/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/23258608,,,,,,,,,https://www.wikidata.org/wiki/Q59556509
"[""1537-2197"", ""0002-9122""]",American journal of botany,,https://bsapubs.onlinelibrary.wiley.com/hub/journal/15372197/homepage/forauthors,https://bsapubs.onlinelibrary.wiley.com/hub/journal/15372197/homepage/editorialboard,,https://bsapubs.onlinelibrary.wiley.com/journal/15372197,,Botanical Society of America,,,https://cms.botany.org/home.html,,,,https://www.wikidata.org/wiki/Q2664693
"[""1541-4329""]",Journal of food science education,,https://www.ift.org/news-and-publications/scientific-journals/journal-of-food-science-education/jfse-author-guidelines,https://onlinelibrary.wiley.com/page/journal/15414329/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/15414329,,Institute of Food Technologists,,,http://www.ift.org/,,,,https://www.wikidata.org/wiki/Q27723370
"[""1541-4337""]",Comprehensive reviews in food science and food safety,,https://www.ift.org/news-and-publications/scientific-journals/crfsfs,https://onlinelibrary.wiley.com/page/journal/15414337/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/15414337,,Institute of Food Technologists,,,http://www.ift.org/,,,,https://www.wikidata.org/wiki/Q5156991
"[""1537-2537"", ""0047-2425""]",Journal of environmental quality,,https://www.agronomy.org/publications/journals/author-resources,https://acsess.onlinelibrary.wiley.com/journal/15372537/editorial-board/editorial-board,,https://acsess.onlinelibrary.wiley.com/journal/15372537,,American Society of Agronomy,Crop Science Society of America,Soil Science Society of America,https://www.agronomy.org/,https://www.crops.org/,https://www.soils.org/,https://twitter.com/jenvironqual,https://www.wikidata.org/wiki/Q15757730
"[""1542-7390""]",Space weather,,http://publications.agu.org/author-resource-center,https://agupubs.onlinelibrary.wiley.com/hub/journal/15427390/editorial-board/editorial-board,,https://onlinelibrary.wiley.com/journal/15427390,,,,,,,,,https://www.wikidata.org/wiki/Q14367486
"[""1540-4595"", ""1540-4609""]",Decision sciences journal of innovative education,,https://onlinelibrary.wiley.com/page/journal/15404609/homepage/forauthors.html,https://onlinelibrary.wiley.com/page/journal/15404609/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/15404609,,,,,,,,,https://www.wikidata.org/wiki/Q5249222
"[""1540-5893"", ""0023-9216""]",Law & society review,,https://onlinelibrary.wiley.com/page/journal/15405893/homepage/forauthors.html,https://onlinelibrary.wiley.com/page/journal/15405893/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/15405893,,Law and Society Association,,,https://www.lawandsociety.org/,,,,https://www.wikidata.org/wiki/Q6502970
"[""1744-2567""]",SCRIPT-ed,,,https://script-ed.org/about-scripted/editorial-board/,,https://script-ed.org/,,,,,,,,,https://www.wikidata.org/wiki/Q15750854
"[""1541-6151"", ""1556-3502""]",Anthropology news,,https://anthrosource.onlinelibrary.wiley.com/hub/journal/15563502/about/author-guidelines,https://anthrosource.onlinelibrary.wiley.comundefined,,https://anthrosource.onlinelibrary.wiley.com/journal/15563502,,American Anthropological Association,,,https://www.anthropology-news.org,,,,https://www.wikidata.org/wiki/Q53952408
"[""1753-318X""]",Journal of flood risk management,,https://onlinelibrary.wiley.com/page/journal/1753318x/homepage/forauthors.html,https://onlinelibrary.wiley.com/page/journal/1753318x/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/1753318x,,Chartered Institution of Water and Environmental Management,,,http://www.ciwem.org/,,,,https://www.wikidata.org/wiki/Q15753549
"[""1755-263X""]",Conservation letters,,https://conbio.onlinelibrary.wiley.com/hub/journal/1755263x/homepage/forauthors.html,https://conbio.onlinelibrary.wiley.com/hub/journal/1755263x/homepage/editorialboard.html,https://www.facebook.com/conletters/,https://conbio.onlinelibrary.wiley.com/journal/1755263x,,The Society for Conservation Biology,,,https://conbio.org/,,,https://twitter.com/conletters?lang=en,https://www.wikidata.org/wiki/Q1127321
