issn,journal_title,accurate_title,author_instructions,editorial_board,facebook_url,home_page,linkedin_url,society_organization_1,society_organization_2,society_organization_3,society_organization_link_1,society_organization_link_2,society_organization_link_3,twitter_url,wikidata_url
0896-6621,Journal of research in pharmaceutical economics,,,,,,,,,,,,,,
0896-6966,Journal of pharmacoepidemiology,,,,,,,,,,,,,,
0929-7049,"Neuropsychology, development, and cognition",,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q15764818
0937-7255,Ship technology research,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=ystr20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=ystr20,,https://www.tandfonline.com/toc/ystr20/current,,University of Duisburg-Essen,,,https://www.uni-due.de/en/,,,,https://www.wikidata.org/wiki/Q63871774
0950-6608,International materials reviews,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=yimr20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=yimr20,,https://www.tandfonline.com/toc/yimr20/current,,"The Institute of Materials, Minerals and Mining",ASM International,,https://www.iom3.org/,https://www.asminternational.org/,,,https://www.wikidata.org/wiki/Q15766649
0952-391X,European journal of intercultural studies,,,,,https://www.tandfonline.com/toc/ceji19/current,,,,,,,,,
0954-0113,Communist economies,,,,,,,,,,,,,,
0955-8543,Hypermedia,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q837900
0957-4190,Papillomavirus report,,,,,https://www.tandfonline.com/toc/ypvr20/current,,,,,,,,,https://www.wikidata.org/wiki/Q96327993
0959-3683,Publications of the English Goethe Society,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=ypeg20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=ypeg20,,https://www.tandfonline.com/toc/ypeg20/current,,English Goethe Society,,,http://www.englishgoethesociety.org/,,,,https://www.wikidata.org/wiki/Q15759927
0001-2793,A.U.M.L.A.,,,,,,,,,,,,,,
0960-3409,Materials at high temperatures,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=ymht20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=ymht20,,https://www.tandfonline.com/toc/ymht20/current,,,,,,,,,https://www.wikidata.org/wiki/Q15752775
1534-8415,Journal of media and religion,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=hjmr20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=hjmr20,,https://www.tandfonline.com/toc/hjmr20/current,,,,,,,,,https://www.wikidata.org/wiki/Q15756801
0002-6980,Ambix,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=yamb20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=yamb20,,https://www.tandfonline.com/toc/yamb20/current,,Society for the History of Alchemy and Chemistry (SHAC),,,https://www.ambix.org/,,,https://twitter.com/ambixthejournal?lang=en,https://www.wikidata.org/wiki/Q4741520
0961-5768,The King's College law journal,,,,,,,,,,,,,,
1534-9713,Journal of managed pharmaceutical care,,,,,,,,,,,,,,
1536-7290,European journal of sport science,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=tejs20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=tejs20,,https://www.tandfonline.com/toc/tejs20/current,,European College of Sport Science,,,http://sport-science.org/,,,,https://www.wikidata.org/wiki/Q15751492
