,issn,status
0,1079-6061,404
1,1418-2874,404
2,1550-2252,404
3,0304-3834,404
4,0454-6245,200
5,2446-3280,200
6,2805-3249,200
7,2812-4855,200
8,1431-4649,404
9,2603-6975,200
10,1130-5924,200
11,2472-4173,404
12,0490-219X,404
13,0738-7997,200
14,0036-9546,404
15,0252-9564,200
16,1405-9134,404
17,1574-0455,404
18,2424-8398,404
19,0552-4415,404
20,1851-9644,404
21,2747-2604,200
22,1793-1495,404
23,2805-3087,200
24,0367-1429,200
25,0167-8175,404
26,2754-4524,404
27,1747-7743,404
28,1089-084X,404
29,0026-1238,200
30,2769-3244,200
31,2352-5398,200
32,1431-4215,404
33,2785-9797,404
34,1687-3858,200
35,1904-0210,200
36,1399-5510,200
37,2732-9240,404
38,1793-0731,404
39,1658-5321,404
40,2382-5715,404
41,1575-1430,200
42,0013-239X,200
43,2424-8231,404
44,2041-9821,404
45,2716-3970,200
46,2774-6186,200
47,1046-5111,404
48,1348-284X,200
49,0201-8128,200
50,1512-5769,200
51,2490-3183,200
52,0034-5822,200
53,2769-2221,200
54,2436-5793,404
55,2436-5866,404
56,0886-3865,200
57,2693-3411,200
58,2367-9549,200
59,1314-2763,200
60,2811-3950,404
61,2582-9130,404
62,1475-9152,404
63,2735-5284,200
64,2527-5941,200
65,2808-7046,404
66,2535-1400,200
67,2804-3871,404
68,2424-8533,404
69,2456-3544,200
70,2546-1583,200
71,0188-8234,200
72,1606-8459,200
73,2181-1717,404
74,2181-1709,404
75,2527-1180,200
76,2722-6069,200
77,2684-6780,200
78,2088-365X,200
79,2684-8015,200
80,2089-5674,200
81,2812-4936,200
82,2798-1363,200
83,1639-6936,200
84,1829-6750,200
85,2456-3552,200
86,0855-3343,404
87,2580-4979,200
88,2549-5038,200
89,2088-5288,200
90,2208-2395,200
91,2614-2244,200
92,2809-6851,404
93,1823-6138,404
94,2707-4218,200
95,2663-5755,200
96,2591-0884,200
97,2600-8882,404
98,2600-8637,404
99,1793-1827,404
100,2318-2016,200
101,2746-6213,200
102,2735-4342,200
103,2664-2816,200
104,2735-4504,200
105,2208-2352,200
106,2609-5653,200
107,1533-2306,404
108,2070-8289,200
109,1848-4050,200
110,5134-2812,200
111,0172-6803,404
112,2809-7866,404
113,2713-1882,200
114,2715-5463,200
115,2715-5978,200
116,2713-1890,200
117,2424-8223,404
118,2636-0926,200
119,2586-5013,200
120,1412-9337,200
121,2448-2390,200
122,1301-4749,404
123,2809-3321,404
124,1301-8051,404
125,2208-2425,200
126,2208-2379,200
127,0065-5376,404
128,2738-7372,200
129,2564-4033,404
130,2738-7380,200
131,2769-1926,200
132,2191-3463,404
133,1608-9057,200
134,2798-5067,404
135,2191-3471,404
136,2769-1934,200
137,2798-5059,404
138,2735-4415,200
139,1857-3533,200
140,2735-5365,200
141,2208-2387,200
142,2798-5466,404
143,2798-5725,404
144,2716-3504,200
145,2716-3490,200
146,2785-9673,200
147,2619-8150,200
148,2772-5723,200
149,2785-9622,200
150,1930-4633,404
151,2773-7705,200
152,2765-7124,404
153,2535-227X,200
154,2809-3445,404
155,2672-8575,404
156,0758-9670,200
157,2811-3969,404
158,2747-1330,200
159,2774-5570,200
160,2684-7671,200
161,2721-3641,200
162,2563-6243,200
163,2809-2058,404
164,2721-3633,200
165,2809-2643,404
166,2685-6506,200
167,1811-1564,200
168,2683-295X,200
169,2810-9058,404
170,2674-1385,404
171,1225-1879,200
172,2524-6070,404
173,2218-9815,404
174,2810-9066,404
175,2621-9514,200
176,1221-843X,200
177,2218-9785,404
178,2621-9530,200
179,2218-9793,404
180,2218-9807,404
